"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"21 May 2026 9:23:00 pm UTC","27129776332","Order","403-6912473-7292323","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","mumbra","MAHARASHTRA","400612","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"21 May 2026 9:23:22 pm UTC","27175509832","Shipping Services","404-0687082-8017924","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","4 Jun 2026 7:33:50 am UTC"
"21 May 2026 9:23:33 pm UTC","27129776332","Shipping Services","403-6912473-7292323","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"21 May 2026 9:23:35 pm UTC","27175509832","Shipping Services","171-0348425-8341139","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","3 Jun 2026 4:03:46 am UTC"
"21 May 2026 9:26:38 pm UTC","27175509832","Order","407-9636816-0077933","QG-YMXG-BWXK","VATS Original Diamond Regular BP Cuff with Bladder, Bulb & Valve | Silicone tubing and Bladder | Standard Size Arm Cuff for Manual Sphygmomanometer |","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SAO JOSE DE AREAL","GOA","403709","560.95","0","0","0","28.05","0","0","-2.80","0","0","0","0","0","586.20","Released","2 Jun 2026 6:08:04 am UTC"
"21 May 2026 9:27:35 pm UTC","27175509832","Shipping Services","407-9636816-0077933","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46","Released","2 Jun 2026 6:08:19 am UTC"
"22 May 2026 12:22:52 am UTC","27175655182","Order","171-4541821-6806737","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","PURANPUR","UTTAR PRADESH","262122","265.71","0","0","0","13.29","0","0","-1.33","0","0","0","-1.18","0","276.49","Released","1 Jun 2026 12:05:42 pm UTC"
"22 May 2026 12:23:13 am UTC","27175655182","Shipping Services","171-4541821-6806737","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","1 Jun 2026 10:51:07 pm UTC"
"22 May 2026 12:25:40 am UTC","27175509832","Order","408-0345841-0897949","LancingDevicePen_100Rounds","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","PATHANAMTHITTA","KERALA","689542","189.52","0","0","-7.58","9.10","0","0","-0.91","0","0","0","-1.18","0","188.95","Released","4 Jun 2026 7:04:49 am UTC"
"22 May 2026 12:26:20 am UTC","27175509832","Shipping Services","408-0345841-0897949","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","4 Jun 2026 6:44:47 am UTC"
"22 May 2026 12:26:24 am UTC","27175655182","Order","403-0109766-1954716","NF-MDW6-E5UB","LawMed Care Kelly Hemostat Forceps 5.5 CVD","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KOLKATA","WEST BENGAL","700075","246.67","0","0","0","12.33","0","0","-1.23","0","0","0","-1.18","0","256.59","Released","2 Jun 2026 5:18:56 am UTC"
"22 May 2026 12:27:38 am UTC","27175655182","Shipping Services","403-0109766-1954716","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","2 Jun 2026 5:19:46 am UTC"
"22 May 2026 12:29:02 am UTC","27175655182","Order","403-8696742-8985934","LancingDevicePen_100Rounds","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GARDHIWALA","PUNJAB","144207","189.52","0","0","-7.58","9.10","0","0","-0.91","0","0","0","-1.18","0","188.95","Released","1 Jun 2026 9:00:25 pm UTC"
"22 May 2026 12:29:36 am UTC","27175655182","Shipping Services","403-8696742-8985934","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","1 Jun 2026 7:44:21 pm UTC"
"22 May 2026 12:56:54 am UTC","27175509832","Order","407-1646101-4782703","E4-RC02-BUE5","VATS Body Wipes | Chlorhexidine Digluconate Wet Wipes | Disposable Hygiene Wipes for Adult Care, Hospital & Travel Use (PACK OF 5)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","MAVELIKKARA","KERALA","690101","350.48","0","0","0","17.52","0","0","-1.75","0","0","0","-25.96","0","340.29","Released","3 Jun 2026 9:40:09 pm UTC"
"22 May 2026 12:58:05 am UTC","27175509832","Shipping Services","407-1646101-4782703","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-88.50","0","-88.50","Released","3 Jun 2026 3:18:29 pm UTC"
"22 May 2026 2:10:59 am UTC","27129830212","Order","408-8775575-0882742","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","KESARIA","BIHAR","845424","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 2:11:54 am UTC","27129830212","Shipping Services","408-8775575-0882742","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"22 May 2026 2:15:29 am UTC","27129776332","Order","403-6749293-5081934","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KOLLAM","KERALA","691508","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 2:16:00 am UTC","27129776332","Shipping Services","403-6749293-5081934","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"22 May 2026 2:19:25 am UTC","27175655182","Order","171-2520393-2522714","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","AMBIKAPUR","CHHATTISGARH","497001","489.00","0","0","0","0","0","0","0","0","0","0","-25.96","0","463.04","Released","4 Jun 2026 7:10:37 am UTC"
"22 May 2026 2:20:18 am UTC","27175655182","Shipping Services","171-2520393-2522714","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","4 Jun 2026 7:36:00 am UTC"
"22 May 2026 2:33:31 am UTC","27175509832","Order","407-8556911-8066756","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","LUCKNOW","UTTAR PRADESH","226002","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","31 May 2026 12:04:19 pm UTC"
"22 May 2026 2:33:57 am UTC","27175509832","Shipping Services","407-8556911-8066756","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","31 May 2026 12:58:47 pm UTC"
"22 May 2026 4:05:36 am UTC","27175655182","Order","405-2395748-3893953","QG-YMXG-BWXK","VATS Original Diamond Regular BP Cuff with Bladder, Bulb & Valve | Silicone tubing and Bladder | Standard Size Arm Cuff for Manual Sphygmomanometer |","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUNGER","BIHAR","813212","618.10","0","0","0","30.90","0","0","-3.09","0","0","0","-53.10","0","592.81","Released","3 Jun 2026 7:33:54 am UTC"
"22 May 2026 4:06:26 am UTC","27175655182","Shipping Services","405-2395748-3893953","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","3 Jun 2026 7:35:42 am UTC"
"22 May 2026 5:06:41 am UTC","27175509832","Order","171-9027086-4150769","BG-HEB6-19PW","KooingTech Pressure Bulb Pump, Latex Blood Pressure Bulb, Black Squeeze Bulb Pump for Manually Inflating Blood Pressure Replacement Parts","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","TRICHY","TAMIL NADU","620021","173.33","0","0","0","8.67","0","0","-0.87","0","0","0","-1.18","0","179.95","Released","3 Jun 2026 8:17:54 pm UTC"
"22 May 2026 5:07:35 am UTC","27175509832","Shipping Services","171-9027086-4150769","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","3 Jun 2026 8:51:13 pm UTC"
"22 May 2026 5:48:33 am UTC","27175655182","Order","407-4048326-1473918","4C-2OLD-NE1C","VATS 100 Sterile Alcohol Swabs - Antiseptic Prep Wipes Pads | Individually Packed | 70% Isopropyl Alcohol | Pack of 100","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","CHANDIGARH","CHANDIGARH","160022","147.62","0","0","0","7.38","0","0","-0.74","0","0","0","-1.18","0","153.08","Released","2 Jun 2026 6:54:45 pm UTC"
"22 May 2026 5:49:09 am UTC","27175655182","Shipping Services","407-4048326-1473918","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-88.50","0","-88.50","Released","2 Jun 2026 8:25:47 pm UTC"
"22 May 2026 6:09:47 am UTC","27129830212","Order","408-4308278-1604335","IG-ONBR-37FB","Vats Institution/Hospital Pack 1000 Glucometer Round Lancets,Blue | Dr. Morepen Supported Glucometer Round Blood Lancet 1000 Pcs Blue Colour","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","AIZAWL","MIZORAM","796001","978.00","0","0","-39.12","0","0","0","0","0","0","0","-51.92","0","886.96","Deferred",
"22 May 2026 6:10:37 am UTC","27129830212","Shipping Services","408-4308278-1604335","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"22 May 2026 6:36:42 am UTC","27129830212","Transfer","","","To account ending with: 543","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-10,183.86","-10,183.86","Released","22 May 2026 6:36:42 am UTC"
"22 May 2026 6:38:16 am UTC","27129776332","Transfer","","","To account ending with: 543","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-20,955.18","-20,955.18","Released","22 May 2026 6:38:16 am UTC"
"22 May 2026 8:40:00 am UTC","27129830212","Order","403-9393907-8064330","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TIRUCHIRAPPALLI","TAMIL NADU","620008","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 8:40:08 am UTC","27175655182","Order","406-0356790-1888376","4C-2OLD-NE1C","VATS 100 Sterile Alcohol Swabs - Antiseptic Prep Wipes Pads | Individually Packed | 70% Isopropyl Alcohol | Pack of 100","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","FATEHGARH SAHIB","PUNJAB","147301","147.62","0","0","-5.90","7.08","0","0","-0.71","0","0","0","-1.18","0","146.91","Released","2 Jun 2026 9:54:41 pm UTC"
"22 May 2026 8:40:09 am UTC","27129830212","Order","408-1516353-9172352","L7-B1YF-W2VH","Hearing Aid Domes for BTE Hearing Aid, White, Small Medium Large Sizes, 18 Pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","COONOOR","TAMIL NADU","643213","322.86","0","0","0","16.14","0","0","-1.61","0","0","0","-25.96","0","311.43","Deferred",
"22 May 2026 8:40:19 am UTC","27175509832","Order","402-7629126-8070762","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","LUDHIANA","PUNJAB","141001","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","2 Jun 2026 7:48:24 pm UTC"
"22 May 2026 8:40:20 am UTC","27175655182","Order","406-3644836-9465165","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","MUMBAI","MAHARASHTRA","400072","265.71","0","0","0","13.29","0","0","-1.33","0","0","0","-1.18","0","276.49","Released","2 Jun 2026 6:26:43 pm UTC"
"22 May 2026 8:40:22 am UTC","27129830212","Order","403-2853981-0218717","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Visakhapatnam","ANDHRA PRADESH","530013","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 8:40:23 am UTC","27175509832","Order","402-8658454-4989951","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","VASAI VIRAR","MAHARASHTRA","401209","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Released","2 Jun 2026 7:28:41 am UTC"
"22 May 2026 8:40:26 am UTC","27175509832","Order","402-6060814-5749129","LancingDevicePen_100Rounds","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KANNAUJ","UTTAR PRADESH","209725","189.52","0","0","-7.58","9.10","0","0","-0.91","0","0","0","-1.18","0","188.95","Released","1 Jun 2026 8:26:01 pm UTC"
"22 May 2026 8:40:27 am UTC","27175655182","Order","171-6940407-6597930","K7-Z0KL-IMNP","BP Armlet Bag Green Color, Blood Pressure Bladder Bag for Medical Use, Adult, 18x10x16 cm","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NASHIK","MAHARASHTRA","422403","227.62","0","0","0","11.38","0","0","-1.14","0","0","0","-1.18","0","236.68","Released","2 Jun 2026 9:46:04 am UTC"
"22 May 2026 8:40:28 am UTC","27175509832","Order","406-0344514-3803568","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Chennai","Tamilnadu","600024","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","4 Jun 2026 7:03:47 am UTC"
"22 May 2026 8:40:29 am UTC","27175509832","Order","408-5194520-3137151","BG-HEB6-19PW","KooingTech Pressure Bulb Pump, Latex Blood Pressure Bulb, Black Squeeze Bulb Pump for Manually Inflating Blood Pressure Replacement Parts","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","SANAND","GUJARAT","382110","173.33","0","0","0","8.67","0","0","-0.87","0","0","0","-1.18","0","179.95","Released","2 Jun 2026 5:33:28 am UTC"
"22 May 2026 8:40:30 am UTC","27129830212","Order","407-6374527-3532332","JR-EFPC-8UTV","Quacc Curved Fishing Forceps Piercing Pliers Stainless Steel Fishing Hemostats for Nurses, Fishing Enthusiasts, Crafts","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Malappuram","KERALA","679328","265.71","0","0","0","13.29","0","0","-1.33","0","0","0","-1.18","0","276.49","Deferred",
"22 May 2026 8:40:32 am UTC","27129830212","Order","404-0635115-1214730","B0FQ5KNQ5N","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","DARSI","ANDHRA PRADESH","523247","168.64","0","0","-6.75","29.15","0","0","-0.81","0","0","0","-1.18","0","189.05","Deferred",
"22 May 2026 8:40:33 am UTC","27175655182","Order","404-4513283-4852364","B4-0MXK-FSI8","Sphygmomanometer BP Monitor Arm Cuff Rubber Bladder, Double Tube, Black, Adult, Corded Electric","2","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","CHIKODI","KARNATAKA","591213","417.14","0","0","0","20.86","0","0","-2.08","0","0","0","-2.36","0","433.56","Released","4 Jun 2026 7:11:04 am UTC"
"22 May 2026 8:40:33 am UTC","27175509832","Order","402-1353020-5713121","B0FHPQF9JC","Safe-Ty-Pro Uno Safety Lancets | Sterile Disposable Blood Sampling Needles (Pack of 200) Copatiable with Acu Check Dr Morepen","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BAGESHWAR","UTTARAKHAND","263641","2,541.53","0","0","0","457.47","0","0","-12.71","0","-194.64","0","-89.68","0","2,701.97","Released","3 Jun 2026 7:04:50 am UTC"
"22 May 2026 8:40:34 am UTC","27129776332","Order","171-1885426-0657165","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Malappuram","KERALA","676517","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 8:40:34 am UTC","27175655182","Shipping Services","406-0356790-1888376","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-88.50","0","-88.50","Released","2 Jun 2026 10:46:17 am UTC"
"22 May 2026 8:40:38 am UTC","27129830212","Order","406-0049439-0384319","XG-NG2E-YVR1","VATS Hemostatic Artery Forceps - Premium Stainless Steel Hemostatic Clamps for Surgical, Dental & Veterinary Use","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","Anjangaon surji","MAHARASHTRA","444705","313.33","0","0","0","15.67","0","0","-1.57","0","0","0","-25.96","0","301.47","Deferred",
"22 May 2026 8:40:39 am UTC","27175509832","Order","171-5110344-3196327","H1-Z3VR-X04J","3 in 1 Wireless Charger for MagSafe, Magnetic Foldable Travel Fast Charging Station Stand for iPhone16/15/14/13/12 Series, AirPods Pro/4/3/2 & Apple W","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Nagpur","MAHARASHTRA","440010","1,780.00","0","0","0","89.00","0","0","-8.90","0","-452.12","0","-89.68","0","1,318.30","Released","3 Jun 2026 2:46:49 pm UTC"
"22 May 2026 8:40:40 am UTC","27175509832","Order","407-3676053-8950765","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","INDORE","MADHYA PRADESH","453112","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","3 Jun 2026 5:45:35 pm UTC"
"22 May 2026 8:40:40 am UTC","27129776332","Order","171-1367291-2542717","NF-MDW6-E5UB","LawMed Care Kelly Hemostat Forceps 5.5 CVD","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","EDATHALA","KERALA","683561","246.67","0","0","0","12.33","0","0","-1.23","0","0","0","-1.18","0","256.59","Deferred",
"22 May 2026 8:40:41 am UTC","27175509832","Order","403-2787302-5338707","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NALGONDA","TELANGANA","508001","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Released","3 Jun 2026 6:11:59 pm UTC"
"22 May 2026 8:40:43 am UTC","27129776332","Order","404-8084210-1967549","B0FHKN2Q5C","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","COIMBATORE","TAMIL NADU","641045","170.48","0","0","-6.82","8.18","0","0","-0.82","0","0","0","-1.18","0","169.84","Deferred",
"22 May 2026 8:40:48 am UTC","27129776332","Order","404-7971946-8758745","MKIT25","Dr. Morepen Gluco One BG03 Glucometer (25 Free Test Strips)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NAVI MUMBAI","MAHARASHTRA","410208","450.48","0","0","0","22.52","0","0","-2.25","0","0","0","-25.96","0","444.79","Deferred",
"22 May 2026 8:40:48 am UTC","27129830212","Shipping Services","408-1516353-9172352","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"22 May 2026 8:40:52 am UTC","27175509832","Order","404-6274227-0029915","LancingDevicePen_100Rounds","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","KHODIYAR AHMEDABAD","GUJARAT","382421","189.52","0","0","-7.58","9.10","0","0","-0.91","0","0","0","-1.18","0","188.95","Released","1 Jun 2026 11:47:00 pm UTC"
"22 May 2026 8:40:52 am UTC","27175655182","Order","406-3822409-6869949","LancingDevicePen_100Rounds","Lancing Device Pen & 100 Round Lancets (Compatible for use with all brands of Glucometers), Blue Compatiable with Accu Check Dr Morpen (device pen 100","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","LIMLA","GUJARAT","394510","189.52","0","0","-7.58","9.10","0","0","-0.91","0","0","0","-1.18","0","188.95","Released","3 Jun 2026 5:41:58 am UTC"
"22 May 2026 8:40:52 am UTC","27129776332","Order","402-4378462-6667532","OB-SK2N-S8TT","Dr. Morepen Supported Glucometer Round Blood Lancet 200 Pcs Blue Colour | VATS 200 Round Blood Lancet 200 Pieces Glucometer Lancets (Blue Colour)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","Chennai","TAMIL NADU","600097","170.48","0","0","0","8.52","0","0","-0.85","0","0","0","-1.18","0","176.97","Deferred",
"22 May 2026 8:40:54 am UTC","27129830212","Shipping Services","407-6374527-3532332","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
"22 May 2026 8:40:57 am UTC","27175655182","Order","402-1851827-5943565","8W-RRGP-M6VE","VATSALYA MEDTECH Universal Lancing Device for Round Glucometer Lancets - Adjustable Depth Blood Sampling Tool for Diabetes Testing - Ergonomic & Safe","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BULANDSHAHR","UTTAR PRADESH","203001","152.38","0","0","-6.10","7.32","0","0","-0.73","0","0","0","-1.18","0","151.69","Released","1 Jun 2026 5:47:56 am UTC"
"22 May 2026 8:40:59 am UTC","27175509832","Shipping Services","406-0344514-3803568","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Released","4 Jun 2026 7:30:30 am UTC"
"22 May 2026 8:41:01 am UTC","27129830212","Shipping Services","403-9393907-8064330","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","0","-64.90","0","-64.90","Deferred",
